customer_id,balance,interest_rate,default_rate,acquisition_cost,revenue,loss,net_profit,bank_name
1,57450.71,0.2821,0.022,2875.03,16206.85,1263.92,12067.9,Axis
2,47926.04,0.2603,0.0343,4546.98,12475.15,1643.86,6284.31,Kotak
3,59715.33,0.2572,0.0779,2404.46,15358.78,4651.82,8302.5,SBI
4,72845.45,0.2594,0.0647,4191.74,18896.11,4713.1,9991.27,Kotak
5,46487.7,0.3083,0.0298,4335.83,14332.16,1385.33,8611,Kotak
6,46487.95,0.2552,0.0495,2864.95,11863.72,2301.15,6697.62,ICICI
7,73688.19,0.2837,0.0383,3566.77,20905.34,2822.26,14516.31,SBI
8,61511.52,0.3253,0.0443,5308.77,20009.7,2724.96,11975.97,SBI
9,42957.88,0.2794,0.0349,2593.64,12002.43,1499.23,7909.56,SBI
10,58138.4,0.3263,0.0296,3738.02,18970.56,1720.9,13511.64,Kotak
11,43048.73,0.3245,0.0572,5730.93,13969.31,2462.39,5775.99,Axis
12,43014.05,0.2746,0.0645,4016.44,11811.66,2774.41,5020.81,SBI
13,53629.43,0.3229,0.0712,4900.53,17316.94,3818.42,8597.99,Kotak
14,21300.8,0.3248,0.0209,5307.46,6918.5,445.19,1165.85,ICICI
15,24126.23,0.2897,0.0676,2815.1,6989.37,1630.93,2543.34,Axis
16,41565.69,0.271,0.0278,2872.87,11264.3,1155.53,7235.9,ICICI
17,34807.53,0.3021,0.0399,5034.37,10515.35,1388.82,4092.16,Axis
18,54713.71,0.3421,0.0731,5013.23,18717.56,3999.57,9704.76,Kotak
19,36379.64,0.314,0.0418,2240.73,11423.21,1520.67,7661.81,HDFC
20,28815.44,0.2673,0.0238,3289.99,7702.37,685.81,3726.57,Axis
21,71984.73,0.3183,0.0212,3594.13,22912.74,1526.08,17792.53,ICICI
22,46613.36,0.2927,0.0431,5316.16,13643.73,2009.04,6318.53,Kotak
23,51012.92,0.3092,0.0634,3687.45,15773.19,3234.22,8851.52,Axis
24,28628.78,0.3234,0.0798,5703.72,9258.55,2284.58,1270.25,HDFC
25,41834.26,0.3015,0.0651,5986.43,12613.03,2723.41,3903.19,HDFC
26,51663.84,0.3314,0.0714,5122.9,17121.4,3688.8,8309.7,SBI
27,32735.1,0.3222,0.0623,4665.55,10547.25,2039.4,3842.3,SBI
28,55635.47,0.3115,0.0727,3567.59,17330.45,4044.7,9718.16,ICICI
29,40990.42,0.2651,0.0153,2268.16,10866.56,627.15,7971.25,Axis
30,45624.59,0.3336,0.0751,4292.56,15220.36,3426.41,7501.39,Axis
31,40974.4,0.3436,0.0377,3446.82,14078.8,1544.73,9087.25,SBI
32,77784.17,0.2637,0.0745,3403.59,20511.69,5794.92,11313.18,Axis
33,49797.54,0.2988,0.0153,4750.84,14879.5,761.9,9366.76,Axis
34,34134.34,0.2759,0.0601,3854.56,9417.66,2051.47,3511.63,HDFC
35,62338.17,0.3255,0.0615,5008.38,20291.07,3833.8,11448.89,SBI
36,31687.35,0.3222,0.0798,3592.69,10209.66,2528.65,4088.32,Kotak
37,53132.95,0.2641,0.0638,2603.45,14032.41,3389.88,8039.08,SBI
38,20604.95,0.3377,0.0368,3845.39,6958.29,758.26,2354.64,Kotak
39,30077.21,0.2681,0.049,5804.05,8063.7,1473.78,785.87,HDFC
40,52952.92,0.3297,0.0357,5206.1,17458.58,1890.42,10362.06,ICICI
41,61077,0.2957,0.0237,2823,18060.47,1447.52,13789.95,Axis
42,52570.52,0.2828,0.0274,3565.2,14866.94,1440.43,9861.31,HDFC
43,48265.28,0.2658,0.0255,5711.17,12828.91,1230.76,5886.98,Axis
44,45483.44,0.2668,0.0484,2494.8,12134.98,2201.4,7438.78,ICICI
45,27822.17,0.3162,0.0734,3015.8,8797.37,2042.15,3739.42,ICICI
46,39202.34,0.305,0.0739,3048.89,11956.71,2897.05,6010.77,HDFC
47,43090.42,0.2622,0.0138,4283.73,11298.31,594.65,6419.93,ICICI
48,65856.83,0.2613,0.0156,3642.93,17208.39,1027.37,12538.09,Kotak
49,55154.27,0.2572,0.0272,2319.48,14185.68,1500.2,10366,ICICI
50,23554.4,0.3244,0.0279,4516.73,7641.05,657.17,2467.15,Axis
51,54861.26,0.3212,0.0166,2396.31,17621.44,910.7,14314.43,Axis
52,44223.77,0.2558,0.0372,4425.66,11312.44,1645.12,5241.66,Axis
53,39846.17,0.306,0.0511,4028.03,12192.93,2036.14,6128.76,Axis
54,59175.14,0.2585,0.0505,3974.67,15296.77,2988.34,8333.76,Kotak
55,65464.99,0.3404,0.048,2269.98,22284.28,3142.32,16871.98,SBI
56,63969.2,0.3407,0.0337,4556.88,21794.31,2155.76,15081.67,HDFC
57,37411.74,0.3198,0.0595,3725.28,11964.27,2226,6012.99,Axis
58,45361.81,0.3426,0.0679,3644.42,15540.96,3080.07,8816.47,ICICI
59,54968.95,0.3311,0.0342,4385.81,18200.22,1879.94,11934.47,Axis
60,64633.18,0.3329,0.016,4424.99,21516.39,1034.13,16057.27,ICICI
61,42812.39,0.307,0.0307,2060.13,13143.4,1314.34,9768.93,ICICI
62,47215.12,0.2806,0.0196,2500.9,13248.56,925.42,9822.24,Axis
63,33404.98,0.2718,0.0427,2946.07,9079.47,1426.39,4707.01,Kotak
64,32056.9,0.2827,0.0209,4711.91,9062.49,669.99,3680.59,ICICI
65,62187.89,0.3128,0.0424,4306.96,19452.37,2636.77,12508.64,ICICI
66,70343.6,0.2673,0.0255,5030.52,18802.84,1793.76,11978.56,Axis
67,48919.85,0.2759,0.0617,4962.43,13496.99,3018.35,5516.21,ICICI
68,65052.99,0.2968,0.0119,5412.73,19307.73,774.13,13120.87,ICICI
69,55424.54,0.2733,0.0488,3507.26,15147.53,2704.72,8935.55,Axis
70,40323.2,0.3089,0.0219,3380.26,12455.84,883.08,8192.5,Axis
71,55420.93,0.3423,0.0101,5324.06,18970.58,559.75,13086.77,HDFC
72,73070.55,0.3248,0.0708,2950.41,23733.31,5173.39,15609.51,Kotak
73,49462.61,0.3166,0.057,3844.69,15659.86,2819.37,8995.8,Kotak
74,73469.65,0.3083,0.0169,2777.3,22650.69,1241.64,18631.75,ICICI
75,10703.82,0.2988,0.0565,5655.36,3198.3,604.77,-3061.83,Kotak
76,62328.54,0.2687,0.0528,3631.21,16747.68,3290.95,9825.52,ICICI
77,51305.71,0.3395,0.0431,2849.95,17418.29,2211.28,12357.06,HDFC
78,45514.89,0.2749,0.0393,4768.05,12512.04,1788.74,5955.25,Axis
79,51376.41,0.2591,0.0721,2978.58,13311.63,3704.24,6628.81,Axis
80,20186.47,0.325,0.0272,5774.01,6560.6,549.07,237.52,Axis
81,46704.92,0.2676,0.0379,3470.47,12498.24,1770.12,7257.65,Kotak
82,55356.69,0.2872,0.033,4658.56,15898.44,1826.77,9413.11,HDFC
83,72168.41,0.2528,0.064,3380.98,18244.17,4618.78,10244.41,Kotak
84,42225.95,0.2637,0.0742,5228.98,11134.98,3133.17,2772.83,Kotak
85,37872.6,0.2673,0.0695,5587.69,10123.35,2632.15,1903.51,HDFC
86,42473.64,0.2554,0.0658,5151.67,10847.77,2794.77,2901.33,HDFC
87,63731.03,0.3157,0.0791,5394,20119.89,5041.12,9684.77,HDFC
88,54931.27,0.3337,0.0588,2407.52,18330.56,3229.96,12693.08,HDFC
89,42053.6,0.2873,0.0626,5696.26,12082,2632.56,3753.18,Axis
90,57699.01,0.3375,0.0788,4497.2,19473.42,4546.68,10429.54,SBI
91,51456.16,0.2713,0.0105,5476.87,13960.06,540.29,7942.9,SBI
92,64529.67,0.2825,0.0544,4737.75,18229.63,3510.41,9981.47,HDFC
93,39469.2,0.2651,0.0617,2807.39,10463.28,2435.25,5220.64,SBI
94,45085.07,0.3121,0.0742,4438.22,14071.05,3345.31,6287.52,SBI
95,44118.38,0.292,0.0719,2363.78,12882.57,3172.11,7346.68,HDFC
96,28047.28,0.3113,0.0689,4782.89,8731.12,1932.46,2015.77,SBI
97,54441.8,0.3262,0.0762,3636,17758.92,4148.47,9974.45,Kotak
98,53915.83,0.3046,0.0476,2606.93,16422.76,2566.39,11249.44,ICICI
99,50076.7,0.3128,0.0105,5916.92,15663.99,525.81,9221.26,ICICI
100,46481.19,0.3435,0.0108,5604.34,15966.29,502,9859.95,HDFC
101,28769.44,0.2799,0.0481,5574.17,8052.57,1383.81,1094.59,Axis
102,43690.32,0.2859,0.0405,5155.28,12491.06,1769.46,5566.32,HDFC
103,44859.28,0.3218,0.0416,4767.92,14435.72,1866.15,7801.65,Axis
104,37965.84,0.3111,0.038,4620.32,11811.17,1442.7,5748.15,ICICI
105,47580.71,0.2679,0.0742,2424.38,12746.87,3530.49,6792,HDFC
106,56060.76,0.2876,0.0351,5602.26,16123.07,1967.73,8553.08,Kotak
107,78292.79,0.2968,0.0699,5524.51,23237.3,5472.67,12240.12,SBI
